id,name,date_of_birth,nationality
7728,Karen McCartney,1985-11-26,Indian
7729,John Maslen,1951-10-11,Chinese
7730,Tan France,1937-03-04,German
7731,Vaughan Roberts,1981-05-30,Swedish
7732,Craig Thompson,1946-10-16,Peruvian
7733,Luke Welling,1964-08-07,Swedish
7734,Nick Lane,1940-05-12,Israeli
7735,John J. Mettler,1945-03-23,Spanish
7736,Lesley Hazleton,1950-06-28,Canadian
7737,Kate Bush,1921-09-03,Kenyan
7738,Konami,1988-01-01,Australian
7739,Warren Ellis,1939-06-28,Irish
7740,Kim John Payne M.Ed.,1975-01-14,Turkish
7741,Gib Captain Vobel,1978-06-19,Malaysian
7742,RuPaul,1927-06-05,Indian
7743,Kathy Blackwell,1978-05-14,Russian
7744,Jalalu'L-Din   Rumi,1936-05-26,German
7745,Frankie Boyle,1986-07-14,Irish
7746,Shad Helmstetter,1981-01-03,Brazilian
7747,Rosamund Kidman Cox,1966-08-04,Jamaican
7748,Consumer Dummies,1956-09-25,Jamaican
7749,"V S Ramachandran M.D., Ph.D.",1979-06-03,Chinese
7750,Craig Richardson,1974-09-22,Spanish
7751,Thelma Page,1986-12-27,Indian
7752,Richard Mabey,1979-07-17,Italian
7753,Nora Ephron,1981-02-23,Swedish
7754,Julia Chaplin,1954-05-16,Turkish
7755,Judika Illes,1933-11-18,Italian
7756,Judy Ridgway,1935-11-13,Saudi Arabian
7757,Roger Parker,1934-05-07,Canadian
7758,Russell Page,1940-03-22,Russian
7759,Mark Lerner,1983-12-14,Mexican
7760,Francois Du Toit,1974-11-04,Japanese
7761,Wallace Wang,1941-09-16,German
7762,Tim Moore,1932-11-29,Israeli
7763,Sarah Baxter,1957-11-12,Egyptian
7764,Judith E. Glaser,1937-09-09,Malaysian
7765,George Levy,1966-10-06,Mexican
7766,Suzann Thompson,1936-01-30,Korean
7767,John Traupman,1989-10-29,Portuguese
7768,Jordan MacKay,1951-06-29,Chinese
7769,Sally Goddard Blythe,1959-01-24,Chinese
7770,Gideon Haigh,1984-04-01,Malaysian
7771,Sachiko Morimoto,1947-07-08,Swedish
7772,Steve Hockensmith,1937-08-22,Kenyan
7773,Eoin Devereux,1924-04-21,Korean
7774,Matt Warshaw,1967-09-15,Indian
7775,Kate E. Reynolds,1963-04-24,Malaysian
7776,Thomas W. Phelan,1985-04-17,Chinese
7777,Lauren Juliff,1975-08-17,Italian
7778,Franz Bardon,1928-02-27,Australian
7779,Lisa Lister,1968-11-15,Jamaican
7780,Sue Williams,1971-03-21,Egyptian
7781,Niomi Smart,1925-08-25,Italian
7782,Peter Swanson,1990-01-30,Italian
7783,Lois Pryce,1927-04-11,Mexican
7784,Amy Webb,1923-03-03,Kenyan
7785,Quinlan B. Lee,1924-01-23,French
7786,Joe Tidd,1949-04-01,Turkish
7787,Paul Batho,1985-08-31,Thai
7788,Daniel A. Hughes,1975-09-17,Korean
7789,Ann Shen,1988-01-25,Israeli
7790,Philip Ball,1979-12-26,American
7791,Sarah Haywood,1929-06-22,Canadian
7792,Lyn Stone,1931-04-27,Kenyan
7793,Mark Nepo,1938-12-11,Canadian
7794,Mary Sheedy Kurcinka,1958-11-17,Peruvian
7795,Sergio Adorni,1938-11-29,Nigerian
7796,Joint Association of Classical Teachers,1925-06-01,Italian
7797,Sara Marcus,1921-04-05,Thai
7798,Joost Elffers,1975-12-11,Kenyan
7799,Keith Wilson,1990-11-02,Thai
7800,Rifle Paper Co.,1972-11-30,Nigerian
7801,A. Hyatt Verrill,1958-01-10,Canadian
7802,Jennifer Ward,1977-04-30,Israeli
7803,Gary Gutting,1960-11-29,Polish
7804,N.M. Gwynne,1927-02-01,Irish
7805,Bastien James,1948-07-21,British
7806,Matt Hughes,1952-06-30,German
7807,A. Redfern,1988-08-13,Irish
7808,Volkswagen of America,1920-07-28,Polish
7809,Jean-Dominique Bauby,1990-05-24,Canadian
7810,Lynsay Sands,1954-03-01,Jamaican
7811,Damien Lewis,1929-09-22,Japanese
7812,Kevin Handreck,1924-11-20,Portuguese
7813,The Reverend Sandy Brown,1932-07-24,Peruvian
7814,Laszlo Bock,1965-09-17,Chinese
7815,Gertrude Stein,1954-10-02,Greek
7816,Aka Akasaka,1954-07-03,Saudi Arabian
7817,Linda P. Schapper,1944-09-09,Egyptian
7818,Elizabeth David,1962-01-01,Turkish
7819,Kyra Sundance,1990-10-10,Kenyan
7820,5 Seconds of Summer,1921-03-29,Brazilian
7821,Flora S. Bowley,1947-02-04,Irish
7822,Neil Young,1985-03-26,Mexican
7823,Gladys Thompson,1989-06-11,Russian
7824,Kate Northrup,1985-12-30,Brazilian
7825,Francis Rose,1971-01-09,Russian
7826,George Soros,1959-02-22,Swedish
7827,Marianne Williamson,1926-10-08,British
7828,Svatmarama,1961-05-26,Japanese
7829,David R. Beukelman,1930-06-20,Turkish
7830,James C. Watkins,1923-10-19,Russian
7831,Godfrey Dowson,1967-01-10,Peruvian
7832,Gabriele Mari,1952-08-16,Chinese
7833,Andy Griffiths,1985-05-05,Polish
7834,Byron Sharp,1977-10-27,Israeli
7835,Hermann Funk,1962-03-16,German
7836,Justin Hammack,1937-04-29,Spanish
7837,David Richo,1921-05-24,Nigerian
7838,Mel Robbins,1987-04-19,Japanese
7839,Rainer Maria Rilke,1959-04-18,Peruvian
7840,Victoria Schwab,1925-01-08,Peruvian
7841,Jacob Kenedy,1945-08-21,Turkish
7842,Veronica Peerless,1931-12-11,French
7843,Jamie Cat Callan,1989-05-23,Korean
7844,Christian F. Puglisi,1926-10-12,Indian
7845,E. E. Cummings,1937-10-11,Brazilian
7846,Seligman Martin,1950-09-14,Canadian
7847,Adrian Goldsworthy,1934-10-20,Russian
7848,Rip Esselstyn,1938-07-04,Russian
7849,Graeme Base,1944-08-18,Greek
7850,Charles Rycroft,1967-04-07,Kenyan
7851,Paul Hollywood,1938-02-04,Spanish
7852,Brett McKay,1958-12-20,Irish
7853,Jack Volhard,1965-05-01,Swedish
7854,Irmgard Musch,1990-07-20,Spanish
7855,John Hersey,1983-06-27,Kenyan
7856,Mignon Fogarty,1932-06-08,Indian
7857,Romi Neustadt,1959-10-14,Greek
7858,Martin Goldstein,1940-08-14,Greek
7859,Patrick Harding,1953-11-29,Thai
7860,Edgar H. Schein,1960-03-31,Canadian
7861,Kip Thorne,1977-10-12,French
7862,Caroline Kepnes,1981-11-22,Jamaican
7863,Derek Jarman,1953-05-09,Israeli
7864,Laura Purcell,1988-07-03,Mexican
7865,Don Miguel Ruiz,1930-08-12,Indian
7866,Linda Woodrow,1936-03-17,German
7867,Noelle Stevenson,1985-05-06,Chinese
7868,Robin Barker,1939-04-05,American
7869,Markus Zusak,1942-09-02,Russian
7870,Stephen G. Kochan,1982-11-09,Kenyan
7871,Eugene Peterson,1923-06-18,Irish
7872,Conn Iggulden,1972-12-19,Japanese
7873,Rowling J K,1921-03-03,Australian
7874,Marc Stickdorn,1941-11-01,Russian
7875,Diane Gilleland,1920-05-19,Portuguese
7876,Ann Moura,1983-08-06,Korean
7877,Bernadette Fisers,1927-05-31,Saudi Arabian
7878,Patrick DeWitt,1930-06-06,Kenyan
7879,Kit Kemp,1923-11-06,Russian
7880,Olesya Turkina,1923-02-19,Israeli
7881,Adele Berlin,1965-02-19,Malaysian
7882,Naomi Yandell,1938-09-19,British
7883,Wallace David Foster,1926-03-01,Chinese
7884,Anthony Horowitz,1940-08-03,Malaysian
7885,Beth Kempton,1988-05-25,Greek
7886,Creative Notebooks,1921-02-05,American
7887,Kevyn Aucoin,1975-06-29,Irish
7888,Allen Carr,1978-07-24,Italian
7889,Davis Biton,1979-04-26,French
7890,Debbie Macomber,1945-09-25,Irish
7891,Editors of Reader's Digest,1983-01-15,Russian
7892,Alex Quigley,1930-07-29,Japanese
7893,J.G. Caiger,1947-10-06,Korean
7894,Professor Linda Tuhiwai Smith,1980-12-09,Polish
7895,Rhonda Byrne,1969-10-27,Mexican
7896,Hazel Blomkamp,1957-08-01,Canadian
7897,Karen Marie Moning,1958-05-30,Spanish
7898,Mari Ono,1971-11-27,Saudi Arabian
7899,Chris Pellant,1930-05-23,Greek
7900,Ian Billinghurst,1925-03-13,Spanish
7901,Herge Herge,1947-08-18,Russian
7902,Bobby Hundreds,1954-10-03,French
7903,Maggie Johnson,1966-03-18,Irish
7904,Jane Davenport,1956-09-29,American
7905,Annabel Streets,1929-11-18,Canadian
7906,Billy Griffiths,1948-05-02,Swedish
7907,George McGavin,1955-09-06,Mexican
7908,Aaron James Draplin,1949-12-14,Italian
7909,Eckhard Roediger,1948-08-10,Chinese
7910,Louise Riotte,1953-07-25,Egyptian
7911,Vladimir Ilich Lenin,1939-08-03,Spanish
7912,Rhik Samadder,1926-12-16,Spanish
7913,Bobby Henderson,1956-04-24,Australian
7914,Janet Lansbury,1987-04-17,Israeli
7915,David Hume,1974-03-07,Mexican
7916,Philip Carlo,1960-01-13,Nigerian
7917,Geninne Zlatkis,1960-02-26,Japanese
7918,Viktor E Frankl,1926-09-13,Thai
7919,James Rallison,1976-10-13,Mexican
7920,Helen Garner,1925-10-04,Spanish
7921,Neil Perry,1930-07-22,Indian
7922,Fred C. Piper,1926-04-24,German
7923,Jim Knight,1970-06-16,Jamaican
7924,Roger Frampton,1978-12-03,Chinese
7925,Giles Milton,1964-02-18,Canadian
7926,Kevin Kelly,1958-02-27,Polish
7927,Indy Power,1990-06-17,Egyptian
7928,Dr Steven Hayes,1965-10-05,Australian
7929,Stephen Clarke,1981-02-04,Canadian
7930,Bert Mendelson,1963-11-08,Israeli
7931,Lundy Bancroft,1939-01-27,Japanese
7932,Gail Callahan,1925-07-31,Jamaican
7933,Riccarda Saggese,1922-08-01,German
7934,David J. Wallin,1945-09-05,German
7935,Mark Forsyth,1952-05-03,British
7936,Shirley Maclaine,1978-04-19,German
7937,Friedrich Wilhelm Nietzsche,1979-09-23,Jamaican
7938,Subrata DasGupta,1968-05-08,American
7939,Sonali Deraniyagala,1953-09-24,Chinese
7940,Derek Molloy,1964-05-07,Greek
7941,Kerry Lord,1987-09-12,Korean
7942,Gianaclis Caldwell,1990-03-25,Australian
7943,Stan Hieronymus,1948-02-23,Portuguese
7944,Frans de Waal,1920-08-26,German
7945,Harriet Jacobs,1986-12-03,Peruvian
7946,Faith Erin Hicks,1970-11-23,Thai
7947,Linda Tuhiwai Smith,1963-02-14,Malaysian
7948,Erwin Schrodinger,1982-09-22,Israeli
7949,Michael Greger,1962-04-22,Indian
7950,Barry Schwartz,1988-07-04,Russian
7951,Hank Prunckun,1980-10-02,Russian
7952,Clayton M. Christensen,1946-03-16,Israeli
7953,Tennessee Williams,1928-05-20,German
7954,Chris Pine,1953-07-19,Swedish
7955,Martha Beck,1976-08-07,Irish
7956,Katherine Duncan-Jones,1931-08-24,Swedish
7957,Janet Arnold,1968-12-13,Italian
7958,Arwen Lynch,1967-04-03,Thai
7959,John B. Arden,1940-02-17,Malaysian
7960,Sonia Choquette,1989-10-14,Saudi Arabian
7961,Shirley Clarke,1924-11-27,Japanese
7962,Libba Bray,1940-08-22,American
7963,Michael Pillsbury,1973-02-09,Greek
7964,Lou Schuler,1936-11-05,Greek
7965,Corrine Lapierre,1948-06-24,Turkish
7966,W.E. Fairbairn,1967-08-02,Spanish
7967,Patrick Quillin,1948-06-20,Polish
7968,Amy Novesky,1941-02-07,Indian
7969,Paul Horowitz,1934-07-07,Swedish
7970,Ben Angel,1947-09-16,British
7971,Romy Fraser,1960-06-09,American
7972,Jacqueline Freeman,1987-05-03,Thai
7973,Jane Malcolm-Davies,1959-01-04,Israeli
7974,McKinley Hunter Manasco,1944-09-06,Portuguese
7975,Bart Van Es,1943-10-09,Swedish
7976,R. L. Trask,1983-04-08,French
7977,Joseph V. Mascelli,1978-11-06,Canadian
7978,Kristin Cullen,1978-06-24,Thai
7979,Nancy Nicholson,1951-07-22,Greek
7980,Dan Lepard,1957-06-02,Greek
7981,Ayya Khema,1986-10-09,Malaysian
7982,Stephen Moss,1980-08-03,Canadian
7983,Paul Miller,1981-12-05,Swedish
7984,Brian Froud,1937-05-09,Australian
7985,Maurice Herzog,1985-01-01,American
7986,Yamin Ma,1954-10-11,Indian
7987,Charles Harrington Elster,1964-01-26,Mexican
7988,Moshe Feldenkrais,1923-12-05,Peruvian
7989,Max Lugavere,1944-10-12,Jamaican
7990,Andrew M. Colman,1979-09-14,Turkish
7991,Nicholas Allan,1930-12-09,Irish
7992,Jeff Lemire,1963-12-13,Canadian
7993,Jaya Saxena,1966-08-27,Chinese
7994,Kenji Kawakami,1935-08-30,Russian
7995,Lora S. Irish,1942-07-03,Peruvian
7996,Doris Pilkington Garimara,1939-02-22,Kenyan
7997,Graham Hutton,1984-06-30,Chinese
7998,Don Winslow,1940-03-06,Portuguese
7999,Jonathan Lynn,1947-10-06,Jamaican
8000,Stephen E. Ambrose,1943-12-10,Spanish
8001,James Daley,1925-11-15,Greek
8002,Peter S Beagle,1948-12-08,Irish
8003,Marion Billet,1974-05-29,Saudi Arabian
8004,Christopher Vogler,1984-11-01,British
8005,Terry Darlington,1922-08-08,Saudi Arabian
8006,Suzanne Clothier,1968-05-09,German
8007,Jonathan Wilson,1960-07-02,Egyptian
8008,Jose De Miguel,1940-05-14,Brazilian
8009,William Maughan,1956-06-21,Mexican
8010,Russell Kolts,1930-05-23,British
8011,Rachael Lippincott,1940-05-03,Italian
8012,Shari Y. Manning,1949-12-25,Kenyan
8013,Liesl Silverstone,1973-02-02,Indian
8014,Orson Scott Card,1980-05-15,Chinese
8015,Cupcake Jemma,1948-04-26,Portuguese
8016,Ben R. Cohen,1920-10-11,Kenyan
8017,Ken Doyle,1922-05-02,Turkish
8018,Lorraine E. Murray,1970-12-18,Irish
8019,John Bridges,1974-08-20,Saudi Arabian
8020,Anne Tyler,1931-10-24,Thai
8021,Ann Handley,1951-08-12,Swedish
8022,Joan Bolker,1920-05-24,American
8023,Don Failla,1925-06-10,Japanese
8024,Robert N. Buck,1966-04-02,Peruvian
8025,Justine Hankins,1984-07-25,Indian
8026,Shirley P. Glass,1957-02-13,French
8027,Robert O'Neill,1931-10-23,German
8028,Amanda Li,1932-11-15,Italian
8029,Bruce Bueno De Mesquita,1935-08-05,Swedish
8030,Suzy Ultman,1985-04-15,Irish
8031,Guy Kawasaki,1939-12-09,German
8032,Joseph Mercola,1978-01-22,French
8033,William T Cooper,1988-12-17,Japanese
8034,Sophie Kinsella,1974-05-31,Korean
8035,Walter Carroll,1968-03-03,Peruvian
8036,Jun Yang,1953-08-24,American
8037,Doug Stillinger,1967-09-29,Israeli
8038,Brian Capon,1981-04-24,Peruvian
8039,Luisa Moncada,1978-08-12,Chinese
8040,Ann Baker,1987-01-28,Israeli
8041,Sir David Attenborough,1985-08-17,Polish
8042,Alice Schroeder,1963-10-23,Irish
8043,Yoshiko Iwamoto Wada,1962-07-22,Mexican
8044,Lorraine Hopping Egan,1940-08-21,Saudi Arabian
8045,Don Kladstrup,1981-01-28,British
8046,William J. R. Curtis,1953-07-26,Israeli
8047,Barbara Ehrenreich,1972-11-11,French
8048,Mitch Steele,1965-08-27,Greek
8049,Joachim Meyer,1961-10-15,Indian
8050,Thomas Hanna,1947-09-07,Nigerian
8051,Joe Abercrombie,1966-09-16,Indian
8052,Nick Heil,1954-11-17,Swedish
8053,Seneca,1978-01-10,Chinese
8054,Catherine Westbrook,1928-05-21,German
8055,Robert Karen,1950-03-11,Egyptian
8056,Lorin Roche,1930-02-27,Peruvian
8057,Steven James Petruccio,1973-07-23,Irish
8058,Dawn Huebner,1964-05-08,Spanish
8059,Patrul Rinpoche,1947-02-28,American
8060,Wolfgang Fischer,1922-05-17,Jamaican
8061,Burne Hogarth,1937-09-26,Irish
8062,Peter Freestone,1952-04-20,Greek
8063,Gmc Editors,1926-02-19,French
8064,Johann Friedrich Burgmuller,1985-09-07,Jamaican
8065,Leonardo DiCaprio,1923-06-30,Thai
8066,Roy Keane,1982-09-06,Thai
8067,Didrik Soderlind,1949-04-04,Saudi Arabian
8068,Jimmy Barnes,1935-10-09,Kenyan
8069,Andy Mulligan,1976-09-09,Spanish
8070,Tim Seldin,1976-04-15,Australian
8071,Debbie Seaman,1948-07-14,Canadian
8072,Michael McIntyre,1976-04-02,Jamaican
8073,Hal Herzog,1931-04-23,Turkish
8074,E.M. Bard,1941-08-13,Kenyan
8075,Jon Scieszka,1984-03-03,Chinese
8076,John Higgs,1939-01-12,Irish
8077,Royal Observatory Greenwich,1920-04-22,Thai
8078,Jackie Chan,1952-08-06,Italian
8079,Dr Carol Ann Tomlinson,1925-11-21,Malaysian
8080,Laurence S. Cutler,1958-05-29,Chinese
8081,Daniel James Brown,1923-09-23,American
8082,Hanna Sillitoe,1935-09-21,Spanish
8083,Sue Duchesne,1951-09-15,Indian
8084,Rachel Khoo,1975-05-28,Brazilian
8085,Ian Rankin,1968-04-19,Peruvian
8086,Patricia Goroway,1988-06-18,Egyptian
8087,Emily Haynes,1968-04-24,French
8088,Gery Hsu,1962-09-24,Polish
8089,Winston Churchill,1978-10-30,British
8090,Baltasar Gracian,1948-07-21,Mexican
8091,William L. Shirer,1933-05-19,Canadian
8092,Louise Bomber,1950-09-24,Korean
8093,Arnold Schwarzenegger,1941-09-11,Jamaican
8094,Francis Weller,1969-10-14,Indian
8095,Kar-Wai Wong,1968-03-29,Kenyan
8096,Tanya Harter Pierce,1970-06-17,Japanese
8097,Mark Myers,1988-02-08,German
8098,Patricia A. DeYoung,1964-01-27,Peruvian
8099,Jenny Uglow,1979-12-18,Russian
8100,Emma Healey,1965-07-01,Indian
8101,Sharon Flynn,1960-10-25,Kenyan
8102,Angie Voss,1939-06-04,German
8103,Marcella Hazan,1958-09-25,Italian
8104,Nick England,1981-08-11,Spanish
8105,William Queen,1963-08-16,German
8106,François Blanciak,1978-07-18,Irish
8107,Joseph Potak,1963-05-30,Portuguese
8108,Alfie Kohn,1978-08-13,Kenyan
8109,Frederic M. Wheelock,1924-06-24,Italian
8110,Eva Steele-Staccio,1986-02-15,Swedish
8111,Naomi Thompson,1984-12-21,Malaysian
8112,David Sopp,1967-02-24,Canadian
8113,Shannon Sovndal,1978-01-03,Kenyan
8114,Dr. Peter J. D'Adamo,1986-04-11,Russian
8115,Richard Garrigues,1923-05-09,Portuguese
8116,Jeremy Clarkson,1951-04-22,Indian
8117,Dr Phil Mcgraw,1968-08-19,Canadian
8118,Robin Diangelo,1952-02-28,Malaysian
8119,Karen Kelsky,1983-12-12,Irish
8120,J.R. McNeil,1972-06-19,Kenyan
8121,Sir J. M. Barrie,1968-10-17,Australian
8122,Joss Whedon,1984-11-16,French
8123,Alastair Humphreys,1966-08-12,Irish
8124,Garth Williams,1930-03-13,Polish
8125,Shon Harris,1940-03-20,Polish
8126,Ryan Holiday,1940-04-03,Polish
8127,Francesca Denhartog,1922-10-07,Kenyan
8128,Olivia Potts,1941-03-05,Jamaican
8129,David Robson,1937-06-06,Jamaican
8130,Beatrix Potter,1958-06-02,Thai
8131,Maurice Waite,1924-07-27,Polish
8132,Michael Talbot,1990-09-05,Indian
8133,Bill Watterson,1953-08-26,Brazilian
8134,Ann Morris,1961-07-22,Swedish
8135,Elizabeth Macneal,1987-04-18,Italian
8136,Kamini Thomas,1964-07-08,Turkish
8137,David Heinemeier Hansson,1963-10-13,Nigerian
8138,Martin Cleeve,1928-05-13,Nigerian
8139,Annie Raser-Rowland,1972-09-15,Brazilian
8140,John M. Gottman,1923-12-16,Japanese
8141,Heng Ou,1960-08-28,Thai
8142,Lina Ng,1935-06-09,Peruvian
8143,L.Alan LeDoux,1974-05-20,Indian
8144,T. Harv Eker,1982-03-09,Brazilian
8145,Nasha Winters,1962-12-13,Polish
8146,Lizzie Mary Cullen,1930-12-15,Chinese
8147,Paul Bryn Davies,1981-07-30,Australian
8148,Tim Noakes,1990-11-12,Egyptian
8149,John Martineau,1950-02-10,Israeli
8150,Edward de Bono,1938-06-13,Brazilian
8151,Ben Sedley,1986-08-14,Indian
8152,Aimee Song,1926-10-21,Turkish
8153,Daniil Maslyuk,1963-04-05,Israeli
8154,Christabel King,1933-10-05,German
8155,Richard Williams,1975-05-12,Saudi Arabian
8156,PhD  Georg Feuerstein,1975-06-18,Malaysian
8157,Lynn Beighley,1978-06-24,Kenyan
8158,Jeff Sutherland,1929-10-09,Spanish
8159,Renzo Gracie,1975-08-31,Saudi Arabian
8160,Geronimo Stilton,1934-12-01,Malaysian
8161,Lucasfilm Ltd,1930-04-05,Saudi Arabian
8162,Robert Munsch,1962-07-03,British
8163,Jane Nelsen,1977-02-04,Thai
8164,Dr. Claire Bailey,1959-02-25,Indian
8165,Gordon Hideaki Nagai,1946-06-08,Saudi Arabian
8166,Victoria Moore,1956-03-09,Malaysian
8167,Candace Pert,1968-09-23,Nigerian
8168,Catherine Anyango,1978-07-29,Russian
8169,Horace Walpole,1948-10-24,Turkish
8170,David Bissell,1953-05-13,Australian
8171,Lee Parks,1971-12-10,Turkish
8172,Svetlana Chmakova,1946-12-10,Irish
8173,Lenora Chu,1984-09-12,Indian
8174,Anne McMaugh,1925-07-22,Turkish
8175,Bill Buxton,1981-10-11,Polish
8176,Nobuyoshi Araki,1978-05-08,Saudi Arabian
8177,Mario Bigon,1963-10-14,Spanish
8178,Manly P. Hall,1939-11-17,American
8179,Mary Mucklestone,1962-01-10,Korean
8180,Ralph Denyer,1966-03-27,German
8181,Instructor Jonathan Gottschall,1938-11-02,French
8182,Cambridge International Examinations,1940-03-10,Korean
8183,Guy Claxton,1936-03-31,Chinese
8184,Alan Carr,1985-08-21,Turkish
8185,Guy Debord,1938-12-19,Indian
8186,Dana Thomas,1955-12-20,German
8187,Juliette De Bairacli-Levy,1969-08-11,British
8188,Susanne F. Fincher,1938-09-13,Brazilian
8189,Danielle Donaldson,1989-03-01,German
8190,Mark R. Levin,1960-06-08,Greek
8191,Caroline Taggart,1940-08-31,American
8192,Andrew Lea,1964-01-26,Kenyan
8193,Theodore Zeldin,1935-06-27,Canadian
8194,Kino Macgregor,1934-05-04,French
8195,Bell Hooks,1987-11-26,Irish
8196,Mariza Snyder,1933-08-01,Japanese
8197,Jude Buffum,1943-07-07,Saudi Arabian
8198,Nicholas Romanov,1925-12-14,Israeli
8199,D P Simpson,1974-09-15,Australian
8200,Kate Bruning,1990-07-10,French
8201,Alana Fairchild,1940-08-02,Canadian
8202,David Griffith,1962-12-08,Thai
8203,Doris Kearns Goodwin,1957-05-06,Portuguese
8204,Hugh Sebag-Montefiore,1987-10-08,Japanese
8205,Shari Lapena,1960-08-18,French
8206,Emma Eberlein O. F. Lima,1938-08-09,American
8207,Dr. Thomas F. Cash,1952-07-04,French
8208,Steve Wexler,1954-07-26,Thai
8209,Sharon Santoni,1924-03-26,Peruvian
8210,Oliver Sacks,1963-12-21,Brazilian
8211,Victoria Broackes,1983-04-13,American
8212,Michael Owen,1962-07-26,Thai
8213,Kat Von D.,1988-07-18,Portuguese
8214,M. C. Beaton,1964-02-25,Canadian
8215,Jack Halpern,1955-10-11,Kenyan
8216,Phil Town,1941-06-01,Greek
8217,Thomas A. Harris,1973-01-16,Brazilian
8218,Amy Herzog,1952-11-06,Brazilian
8219,Julie Zhuo,1975-03-04,Brazilian
8220,Angela Nagle,1935-08-23,Malaysian
8221,Frank Herbert,1976-10-31,Australian
8222,Chris Solarski,1987-08-16,Japanese
8223,Carl Safina,1930-02-23,French
8224,William Sears,1946-05-05,British
8225,Maoshing Ni,1964-02-16,Kenyan
8226,J. Allen Boone,1952-04-02,Nigerian
8227,Jamie Morton,1966-11-26,French
8228,Colm Williamson,1976-10-08,Australian
8229,Finlay Wilson,1934-04-03,Nigerian
8230,Thomas Hauser,1940-08-17,Irish
8231,Dalai Lama,1931-12-14,Brazilian
8232,Diane E. Muldrow,1935-03-26,Portuguese
8233,Liz Dean,1935-02-24,Saudi Arabian
8234,Grayson Perry,1974-09-14,German
8235,Aaron Dignan,1955-06-17,Indian
8236,Chuck Wendig,1979-06-18,Saudi Arabian
8237,Patricia Schultz,1935-01-11,Japanese
8238,Ned Vizzini,1961-09-17,Nigerian
8239,Chesley B. Sullenberger,1974-06-30,Thai
8240,Julia Lawless,1948-11-22,Egyptian
8241,Dale Dubin,1986-12-15,Irish
8242,Junji Ito,1927-08-12,Irish
8243,David Icke,1929-10-09,Chinese
8244,Rudyard Kipling,1968-10-30,Portuguese
8245,Daniel Chidiac,1967-06-21,Portuguese
8246,Jean Hugard,1986-10-17,Jamaican
8247,Mary Page,1939-04-26,Saudi Arabian
8248,Marie M. Clay,1950-05-04,Spanish
8249,Parveen Kumar CBE BSC MD DM (Hc) Frcp Frcp(edin),1934-05-24,Chinese
8250,Dan Abrahams,1962-01-06,Portuguese
8251,Susan Wise Bauer,1922-07-19,Saudi Arabian
8252,Albrecht Durer,1975-03-07,Australian
8253,Simon Garfield,1956-04-26,American
8254,Joe Warwick,1984-01-22,Italian
8255,Bettany Hughes,1968-11-15,Portuguese
8256,Daphne du Maurier,1949-08-19,Thai
8257,Henry S. Warren,1964-11-16,Russian
8258,Carley Roney,1959-02-24,Chinese
8259,Jo Ann Staugaard-Jones,1979-03-21,Turkish
8260,Paul T. Mason,1988-10-06,Spanish
8261,Danielle Doby,1944-05-25,Peruvian
8262,Ray Mears,1981-05-17,Portuguese
8263,Jane Straus,1934-03-13,Japanese
8264,Jane Wightwick,1983-01-13,Peruvian
8265,Leon Uris,1969-07-11,Italian
8266,Jack Hamm,1923-02-17,British
8267,Tom Nichols,1965-09-21,Kenyan
8268,Francesc Zamora,1948-11-19,Italian
8269,Roland Lazenby,1988-09-09,Japanese
8270,Jennifer Morgan,1944-01-05,Greek
8271,Gayle Forman,1940-04-05,British
8272,Suzie Baldwin,1946-12-29,German
8273,Butcher Jim,1936-02-23,German
8274,Frances Mayes,1977-06-10,Korean
8275,K. A. Tucker,1936-06-23,Mexican
8276,James W. Heisig,1943-07-27,Italian
8277,Phil Mather,1986-03-26,Irish
8278,Holly Davis,1958-12-08,Israeli
8279,Ursula K. Le Guin,1974-05-03,Indian
8280,Haruki Murakami,1962-08-02,Jamaican
8281,Jill Liddington,1938-05-27,Australian
8282,Mike Dooley,1985-12-20,Malaysian
8283,Frederic Laloux,1976-06-07,Kenyan
8284,Richard Miscovich,1983-02-17,French
8285,Peter Singer,1989-06-03,Kenyan
8286,Jane Jacobs,1952-11-13,French
